Time,O1,H1,L1,C1,V1,O2,H2,L2,C2,V2
2019-01-04 02:45:00 +0800 +08,144.4,144.49,144.36,144.41,14397.841416599998,144.46,144.53,144.41,144.47,5620.659424999999
2019-01-04 02:46:00 +0800 +08,144.4,144.42,144.32,144.37,23415.275308400018,144.46,144.48,144.38,144.41,7913.401456999999
2019-01-04 02:47:00 +0800 +08,144.33,144.39,144.3,144.35,15735.039909800009,144.43,144.43,144.31,144.4,6666.665826
2019-01-04 02:48:00 +0800 +08,144.35,144.46,144.31,144.41,12532.846413699996,144.41,144.47,144.38,144.47,11406.050243999998
2019-01-04 02:49:00 +0800 +08,144.41,144.47,144.31,144.32,16386.4731193,144.47,144.47,144.35,144.38,5849.466539000001
2019-01-04 02:50:00 +0800 +08,144.31,144.33,144.02,144.23,26350.96683249999,144.38,144.38,144.22,144.25,13944.569901
2019-01-04 02:51:00 +0800 +08,144.16,144.4,144.16,144.3,17593.271193700006,144.27,144.36,144.22,144.32,22639.334942000005
2019-01-04 02:52:00 +0800 +08,144.41,144.41,144.22,144.28,20588.3610005,144.32,144.36,144.27,144.35,6767.016616
2019-01-04 02:53:00 +0800 +08,144.27,144.35,144.07,144.16,11414.066939,144.33,144.33,144.24,144.24,12687.961349
2019-01-04 02:54:00 +0800 +08,144.11,144.15,144.02,144.13,14685.369400200008,144.19,144.19,144.12,144.14,8784.852963000001
2019-01-04 02:55:00 +0800 +08,144.12,144.31,144.12,144.27,15739.853170899998,144.16,144.28,144.14,144.25,9369.083512000001
2019-01-04 02:56:00 +0800 +08,144.28,144.3,144.24,144.28,21258.250886600003,144.3,144.3,144.16,144.25,6398.942582
2019-01-04 02:57:00 +0800 +08,144.29,144.54,144.28,144.51,16529.7502845,144.25,144.44,144.25,144.44,5121.763116000001
2019-01-04 02:58:00 +0800 +08,144.48,144.52,144.44,144.47,8916.5974902,144.44,144.53,144.4,144.43,4737.381363000001
2019-01-04 02:59:00 +0800 +08,144.45,144.47,144.43,144.46,12924.531093499998,144.43,144.44,144.42,144.43,4738.137298
2019-01-04 03:00:00 +0800 +08,144.46,144.53,144.45,144.52,15117.233432400004,144.44,144.53,144.43,144.47,5912.320363
2019-01-04 03:01:00 +0800 +08,144.53,144.8,144.52,144.78,36409.9397792,144.47,144.71,144.47,144.68,11731.581011999999
2019-01-04 03:02:00 +0800 +08,144.79,145.19,144.78,145.04,17131.017312100004,144.68,144.94,144.68,144.94,9656.464514
2019-01-04 03:03:00 +0800 +08,145.01,145.35,145.01,145.31,25959.40406130001,144.94,145.19,144.94,145.18,19204.422360000004
2019-01-04 03:04:00 +0800 +08,145.35,145.5,145.19,145.24,26433.244074099992,145.22,145.44,145.13,145.13,30572.882161
2019-01-04 03:05:00 +0800 +08,145.26,145.33,145.15,145.16,30835.0497061,145.17,145.2,145.08,145.08,22450.412721
2019-01-04 03:06:00 +0800 +08,145.2,145.21,145.01,145.01,19765.403092499997,145.07,145.12,145.06,145.08,20306.896122000002
2019-01-04 03:07:00 +0800 +08,145.03,145.33,144.92,145.14,24117.485115299995,145.02,145.02,144.64,144.99,17335.156446999998
2019-01-04 03:08:00 +0800 +08,145.14,145.4,145.03,145.36,15001.222877100001,145,145.21,144.94,145.21,12092.746336
2019-01-04 03:09:00 +0800 +08,145.37,145.39,145.17,145.2,24089.3824482,145.23,145.24,145.11,145.11,5959.747036
2019-01-04 03:10:00 +0800 +08,145.2,145.32,145.19,145.26,14178.9931913,145.09,145.16,145.07,145.12,9036.955089000001
2019-01-04 03:11:00 +0800 +08,145.26,145.26,145.14,145.2,13858.8112445,145.12,145.15,145.06,145.07,4960.736602
2019-01-04 03:12:00 +0800 +08,145.16,145.22,145.16,145.2,10637.478231600004,145.02,145.12,145.02,145.06,6885.3513539999985
2019-01-04 03:13:00 +0800 +08,145.19,145.25,145.17,145.25,19426.8172848,145.06,145.07,145.01,145.03,4277.745535999999
2019-01-04 03:14:00 +0800 +08,145.25,145.3,145.16,145.26,26728.113467299998,145.03,145.26,145.03,145.12,10122.759686000001
2019-01-04 03:15:00 +0800 +08,145.23,145.29,145.22,145.25,20395.3588362,145.12,145.15,145.11,145.12,8762.150880000001
2019-01-04 03:16:00 +0800 +08,145.2,145.31,145.18,145.29,18226.861386799996,145.11,145.16,145.09,145.16,15736.857567000005
2019-01-04 03:17:00 +0800 +08,145.29,145.3,145.15,145.2,19496.3699345,145.16,145.16,145.08,145.09,5364.67563
2019-01-04 03:18:00 +0800 +08,145.2,145.25,145.09,145.1,29095.6857528,145.09,145.09,144.98,145,5088.023294
2019-01-04 03:19:00 +0800 +08,145.09,145.1,144.85,144.94,22481.509093999994,145.02,145.02,144.81,144.85,13900.119616
2019-01-04 03:20:00 +0800 +08,144.93,144.94,144.5,144.7,24677.0335316,144.82,144.85,144.65,144.66,5893.319513000001
2019-01-04 03:21:00 +0800 +08,144.7,144.83,144.17,144.55,35275.1447832,144.71,144.75,144.49,144.54,21777.159209
2019-01-04 03:22:00 +0800 +08,144.58,144.64,144.52,144.6,19858.510083399993,144.53,144.66,144.53,144.62,11521.911932
2019-01-04 03:23:00 +0800 +08,144.61,144.61,144.41,144.49,15818.389348399998,144.62,144.62,144.49,144.5,5222.580545000002
2019-01-04 03:24:00 +0800 +08,144.5,144.63,144.47,144.61,23537.394399899997,144.48,144.58,144.48,144.55,9607.491403999999
2019-01-04 03:25:00 +0800 +08,144.57,145.08,144.37,144.8,26624.11500559999,144.63,144.97,144.6,144.78,11627.001880000003
2019-01-04 03:26:00 +0800 +08,144.78,145.01,144.63,144.84,19956.107914900003,144.75,144.93,144.75,144.88,18998.192988
2019-01-04 03:27:00 +0800 +08,144.86,145.05,144.82,145.02,17810.568016299996,144.88,144.99,144.82,144.97,8326.68028
2019-01-04 03:28:00 +0800 +08,145.03,145.08,144.5,144.93,15429.785223899999,145,145,144.82,144.91,15833.699513000001
